 Structure Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
2 5 0.941982 2.1353 0.229251 2.94479 11.4063 0.0583828 0.362946 8.03672 0.0240044 0.21454 0.626035 3.1471 3.7191 0.555753 0.354999 0.0045309 0.0111055 1.66323 13.0221 0.0949899 -1 0.905008 5.30997 0.0512673 1.49065 2.36119 -1 1.10377 1.25059 1.73807 1.68025 7.02907 0.0245796 1.04129
2 6 0.744158 0.722422 0.043707 2.28537 14.6315 0.0356223 1.75736 6.83427 0.0751576 0.126952 0.101161 0.301894 1.52025 0.113089 0.199477 0.0265057 0.0582077 0.802691 8.92756 0.0430547 -1 0.0556694 7.52609 0.0758928 3.44556 5.86878 0.383411 0.385204 1.70773 0.178292 0.0800057 5.84942 0.0159268 1.55476
2 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
3 0 15.0949 0.00115546 0.230206 1.36663 6.94504 1.21889 0.0855783 0.0144222 0.896485 0.915065 18.9883 0.0971861 3.20478 0.177853 14.0246 0.0243831 0.0214071 15.7274 13.4755 0.0163369 -1 0.0482127 0.0174359 7.85728 2.69512 13.0097 2.35748 9.1193 0.361055 0.0550528 0.0503741 0.00710529 0.410889 0.108154
3 1 9.15589 0.00547163 0.191894 0.429622 5.15972 0.647704 0.049036 1.33071 0.389013 0.516696 3.81228 0.0141659 0.443911 0.3925 11.4544 0.00644198 0.00949747 11.7904 6.1381 0.00185021 -1 0.0247372 0.012392 2.07349 0.568685 10.1847 0.320652 5.85927 0.516255 0.259449 0.183921 0.105757 0.0786876 0.0120923
3 2 0.474582 0.0695821 0.0989687 0.422213 7.99393 0.097618 0.0649467 5.81635 0.30185 0.00804414 1.70993 0.0122512 1.51239 0.070684 3.22264 0.0082986 0.128399 13.3361 12.7832 0.00673065 -1 0.227416 0.0168474 0.309015 3.34567 5.79337 0.299172 4.1847 0.367022 0.181308 0.00695105 0.0850683 0.036785 0.0334341
3 3 0.379774 0.303667 0.0331299 2.8368 6.62253 0.691647 0.0367398 6.67135 0.530356 0.0723084 0.865977 0.0338576 2.97223 0.0280833 2.39646 0.0272424 0.172942 8.9754 9.82101 0.0207512 -1 0.185074 0.633807 1.19048 2.43021 2.98029 0.00794795 0.0510545 0.137077 0.0515559 0.0643796 0.413591 0.356402 0.139358
3 4 0.0748121 0.128755 0.0361915 4.31424 15.6279 0.159729 0.131682 6.16579 0.301827 0.310861 3.21127 0.117716 4.38416 0.0231103 0.522411 0.138701 0.221428 5.16404 15.1449 0.0214864 -1 0.77767 0.237792 0.168572 6.89315 1.22204 0.233555 2.18173 4.74778 0.0194288 0.0105224 0.49499 0.0591974 0.523823
3 5 0.907723 1.82753 0.201675 4.29832 13.4558 0.0854022 0.596232 8.58271 0.195972 0.201883 0.711766 4.72967 5.3398 0.509574 0.799169 0.0162546 0.0125731 2.85127 12.5551 0.0853249 -1 0.896406 8.02752 0.12195 1.64526 3.5675 -1 1.27151 1.46214 1.71951 1.48702 8.46101 0.0189637 1.12362
3 6 0.761465 0.625332 0.0421546 3.61326 15.7232 0.04685 1.54886 7.18068 0.0721797 0.0737023 0.112912 0.321047 1.71085 0.0664162 0.354913 0.0177863 0.0592638 1.02442 8.77256 0.0309626 -1 0.0335334 8.68977 0.0363267 3.00521 5.07638 0.684373 0.395104 1.67229 0.173442 0.0500181 6.19651 0.0132228 1.20625
