Structure Depth Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
3 2 3 0.680142 0.208568 0.0259385 4.44388 9.64527 0.840094 5.03628 6.24707 0.840369 0.14251 1.504 0.0389133 2.22348 0.0551504 1.63975 0.0584117 0.22752 2.4879 8.58284 0.114522 -1 6.82358 0.586111 4.74797 2.30949 3.47578 0.0325231 0.346677 0.980121 0.170431 0.109201 0.948192 0.610742 0.117708
3 2 4 0.22024 0.0665407 0.0735562 6.4241 16.6807 0.187649 9.18116 6.50846 0.738542 0.479595 2.69821 0.123412 3.79217 0.131626 0.406789 0.189691 0.199114 1.82329 15.1619 0.0361569 -1 8.71443 0.185785 1.08113 6.94387 1.28902 0.464414 4.60985 7.5301 0.0311534 0.0311246 0.759385 0.111871 0.415958
3 2 5 1.32603 2.6933 0.564822 5.12113 15.2998 0.229713 9.15433 11.3175 0.795229 0.408619 1.04988 5.66516 3.51492 0.930173 0.847289 0.0142875 0.0204382 1.08482 14.2803 0.180216 -1 5.75624 7.35006 1.04601 2.22009 3.22688 -1 2.73151 2.80864 2.5391 2.18908 7.09923 0.0644896 1.2977
3 2 6 1.15218 1.20836 0.225218 4.52163 15.2334 0.209443 10.225 12.4474 0.506365 0.241793 0.426127 0.726282 1.27936 0.122316 0.584739 0.0779191 0.0878595 0.511624 11.8225 0.0887164 -1 3.05678 6.85347 0.104446 4.56461 4.13846 1.57435 0.809899 3.30305 0.533262 0.136451 4.91099 0.0357869 1.1981
3 2 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
4 2 0 6.45176 0.0537956 0.222511 5.98957 8.02597 0.652468 0.379671 0.189231 0.67061 3.61957 4.39913 0.450126 0.22599 0.0547796 2.71727 5.5699 0.329178 2.66311 27.574 0.0391807 -1 0.116911 1.74868 9.82234 2.89444 11.7434 6.94722 14.0474 0.579135 0.0760847 0.141405 0.02465 2.23078 0.428788
4 2 1 1.41724 0.0177775 0.219012 2.38745 11.6092 1.56018 0.133371 3.54235 1.04763 0.440094 1.65601 0.0635814 0.266114 0.179926 6.1297 1.18257 2.39305 1.81954 11.8211 0.0238082 -1 0.0550972 0.175558 0.92967 0.627874 11.0775 0.643541 4.16547 0.56779 0.385664 0.46021 0.290797 0.509559 0.155911
4 2 2 0.496545 0.117555 0.141968 1.2956 10.9278 0.157883 0.251582 7.33555 0.565894 0.0731977 0.424589 0.061672 0.639336 0.0975215 2.19969 0.75217 1.55122 2.91441 13.5992 0.0417741 -1 0.0664389 0.0994027 0.349631 4.31291 1.71442 0.551212 4.18543 0.330927 0.148551 0.0266046 0.29003 0.0499569 0.331112
4 2 3 1.19815 0.501427 0.0234593 3.751 9.19605 1.57824 0.190839 8.42553 2.23485 0.552022 0.988876 0.125892 3.32911 0.0482333 2.50434 0.207834 0.795263 4.38923 8.84798 0.116173 -1 0.297916 1.81524 1.3969 2.46633 5.35457 0.0341775 0.0703747 0.116883 0.314175 0.238956 1.09605 1.07108 0.288117
4 2 4 0.435404 0.136721 0.0529713 4.04413 17.7861 0.342383 0.385886 5.48084 4.94324 0.831561 2.96492 0.193551 5.36265 0.220349 1.13819 1.35386 1.01217 4.13893 13.5951 0.0754085 -1 0.957901 0.653864 0.443938 6.05826 1.23203 0.45566 2.21607 3.59655 0.0803248 0.0324417 1.29436 0.200075 0.830724
4 2 5 1.45513 0.684853 0.377314 3.57575 11.7644 0.11266 0.304265 5.98283 4.48091 0.726593 1.01749 2.998 5.00911 0.662205 1.55009 0.0368123 0.0325691 3.02961 9.9195 0.222685 -1 1.07512 7.01842 3.09789 1.28038 3.1456 -1 2.21221 1.21242 1.78705 1.95179 7.1159 0.0736855 1.45128
4 2 6 1.29265 0.219639 0.0742235 1.89386 12.6341 0.0179282 1.13165 3.5936 9.82963 0.377654 0.228244 0.358194 1.24226 0.0501534 0.949376 0.0904419 0.0967332 0.274041 4.8425 0.12019 -1 0.148003 5.82201 0.0515432 1.96955 3.17694 0.324238 0.250738 1.32839 0.163975 0.0792284 3.49574 0.031359 0.736918
4 2 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
5 2 0 15.548 0.073237 0.199709 4.3231 5.56647 0.467296 0.141834 0.0549411 1.03879 1.21893 6.57771 0.605861 0.91422 0.225791 25.4997 6.89866 0.499607 2.19441 34.6239 0.0241639 -1 0.171576 0.0822231 9.99636 3.06921 11.1393 10.5308 14.6875 0.847096 0.0684342 0.122747 0.0161762 0.607005 0.394083
